,file_name,prediction
332,50332,5
333,50333,1
334,50334,2
335,50335,2
336,50336,3
337,50337,3
338,50338,1
339,50339,4
340,50340,2
341,50341,5
342,50342,0
343,50343,6
344,50344,0
345,50345,7
346,50346,7
347,50347,8
348,50348,2
349,50349,9
350,50350,1
351,50351,7
352,50352,5
353,50353,2
354,50354,0
355,50355,1
356,50356,1
357,50357,0
358,50358,9
359,50359,1
360,50360,7
361,50361,3
362,50362,1
363,50363,8
364,50364,3
365,50365,7
366,50366,5
367,50367,1
368,50368,2
369,50369,9
370,50370,7
371,50371,0
372,50372,3
373,50373,7
374,50374,3
375,50375,7
376,50376,7
377,50377,4
378,50378,3
379,50379,0
380,50380,7
381,50381,2
382,50382,7
383,50383,5
384,50384,9
385,50385,0
386,50386,9
387,50387,6
388,50388,4
389,50389,4
390,50390,0
391,50391,4
392,50392,7
393,50393,4
394,50394,8
395,50395,5
396,50396,1
397,50397,1
398,50398,5
399,50399,5
400,50400,1
401,50401,3
402,50402,6
403,50403,9
404,50404,1
405,50405,4
406,50406,5
407,50407,0
408,50408,9
409,50409,5
410,50410,8
411,50411,4
412,50412,3
413,50413,8
414,50414,3
415,50415,6
416,50416,4
417,50417,3
418,50418,6
419,50419,4
420,50420,5
421,50421,8
422,50422,5
423,50423,0
424,50424,0
425,50425,6
426,50426,1
427,50427,4
428,50428,5
429,50429,8
430,50430,5
431,50431,9
432,50432,4
433,50433,4
434,50434,0
435,50435,0
436,50436,9
437,50437,1
438,50438,7
439,50439,9
440,50440,7
441,50441,2
442,50442,8
443,50443,7
444,50444,0
445,50445,9
446,50446,2
447,50447,1
448,50448,8
449,50449,2
450,50450,4
451,50451,5
452,50452,2
453,50453,1
454,50454,2
455,50455,7
456,50456,5
457,50457,2
458,50458,9
459,50459,8
460,50460,5
461,50461,5
462,50462,9
463,50463,0
464,50464,7
465,50465,1
466,50466,4
467,50467,9
468,50468,7
469,50469,8
470,50470,5
471,50471,4
472,50472,1
473,50473,9
474,50474,2
475,50475,2
476,50476,0
477,50477,1
478,50478,2
479,50479,2
480,50480,0
481,50481,3
482,50482,1
483,50483,7
484,50484,5
485,50485,0
486,50486,4
487,50487,2
488,50488,7
489,50489,1
490,50490,9
491,50491,3
492,50492,0
493,50493,1
494,50494,6
495,50495,2
496,50496,2
497,50497,5
498,50498,1
499,50499,6
500,50500,8
501,50501,1
502,50502,4
503,50503,6
504,50504,2
505,50505,8
506,50506,6
507,50507,5
508,50508,2
509,50509,6
510,50510,4
511,50511,0
512,50512,8
513,50513,8
514,50514,3
515,50515,9
516,50516,3
517,50517,4
518,50518,0
519,50519,9
520,50520,7
521,50521,2
522,50522,9
523,50523,0
524,50524,8
525,50525,1
526,50526,0
527,50527,2
528,50528,9
529,50529,3
530,50530,8
531,50531,9
532,50532,8
533,50533,5
534,50534,0
535,50535,8
536,50536,7
537,50537,9
538,50538,8
539,50539,0
540,50540,5
541,50541,1
542,50542,0
543,50543,2
544,50544,9
545,50545,3
546,50546,2
547,50547,4
548,50548,8
549,50549,5
550,50550,1
551,50551,6
552,50552,8
553,50553,7
554,50554,3
555,50555,8
556,50556,6
557,50557,9
558,50558,9
559,50559,0
560,50560,5
561,50561,1
562,50562,9
563,50563,2
564,50564,4
565,50565,3
566,50566,0
567,50567,4
568,50568,2
569,50569,5
570,50570,5
571,50571,8
572,50572,2
573,50573,5
574,50574,6
575,50575,2
576,50576,2
577,50577,1
578,50578,9
579,50579,7
580,50580,6
581,50581,2
582,50582,1
583,50583,9
584,50584,6
585,50585,1
586,50586,0
587,50587,4
588,50588,6
589,50589,1
590,50590,6
591,50591,4
592,50592,5
593,50593,9
594,50594,6
595,50595,6
596,50596,8
597,50597,8
598,50598,6
599,50599,4
600,50600,1
601,50601,5
602,50602,5
603,50603,3
604,50604,8
605,50605,7
606,50606,4
607,50607,8
608,50608,1
609,50609,4
610,50610,6
611,50611,3
612,50612,6
613,50613,3
614,50614,7
615,50615,5
616,50616,4
617,50617,0
618,50618,6
619,50619,6
620,50620,7
621,50621,1
622,50622,6
623,50623,6
624,50624,5
625,50625,8
626,50626,8
627,50627,7
628,50628,0
629,50629,0
630,50630,0
631,50631,1
632,50632,3
633,50633,5
634,50634,8
635,50635,6
636,50636,4
637,50637,0
638,50638,0
639,50639,2
640,50640,2
641,50641,5
642,50642,2
643,50643,0
644,50644,1
645,50645,6
646,50646,1
647,50647,1
648,50648,7
649,50649,5
650,50650,5
651,50651,8
652,50652,1
653,50653,4
654,50654,0
655,50655,7
656,50656,4
657,50657,6
658,50658,3
659,50659,9
660,50660,8
661,50661,1
662,50662,5
663,50663,9
664,50664,7
665,50665,7
666,50666,6
667,50667,1
668,50668,7
669,50669,2
670,50670,6
671,50671,3
672,50672,3
673,50673,4
674,50674,2
675,50675,5
676,50676,2
677,50677,5
678,50678,1
679,50679,3
680,50680,3
681,50681,7
682,50682,1
683,50683,3
684,50684,0
685,50685,1
686,50686,9
687,50687,8
688,50688,3
689,50689,2
690,50690,5
691,50691,2
692,50692,8
693,50693,3
694,50694,4
695,50695,2
696,50696,0
697,50697,7
698,50698,9
699,50699,4
700,50700,2
701,50701,9
702,50702,8
703,50703,9
704,50704,4
705,50705,2
706,50706,7
707,50707,8
708,50708,7
709,50709,1
710,50710,9
711,50711,8
712,50712,4
713,50713,3
714,50714,3
715,50715,8
716,50716,7
717,50717,3
718,50718,9
719,50719,6
720,50720,2
721,50721,7
722,50722,2
723,50723,0
724,50724,9
725,50725,4
726,50726,3
727,50727,0
728,50728,5
729,50729,0
730,50730,7
731,50731,1
732,50732,7
733,50733,2
734,50734,5
735,50735,3
736,50736,2
737,50737,9
738,50738,8
739,50739,5
740,50740,8
741,50741,6
742,50742,7
743,50743,7
744,50744,2
745,50745,8
746,50746,9
747,50747,9
748,50748,2
749,50749,0
750,50750,0
751,50751,1
752,50752,9
753,50753,2
754,50754,9
755,50755,3
756,50756,2
757,50757,4
758,50758,9
759,50759,5
760,50760,7
761,50761,6
762,50762,8
763,50763,7
764,50764,5
765,50765,8
766,50766,5
767,50767,9
768,50768,3
769,50769,0
770,50770,3
771,50771,1
772,50772,1
773,50773,2
774,50774,0
775,50775,3
776,50776,6
777,50777,4
778,50778,5
779,50779,3
780,50780,6
781,50781,6
782,50782,5
783,50783,7
784,50784,9
785,50785,8
786,50786,8
787,50787,9
788,50788,1
789,50789,1
790,50790,8
791,50791,8
792,50792,7
793,50793,6
794,50794,7
795,50795,7
796,50796,7
797,50797,1
798,50798,9
799,50799,1
800,50800,5
801,50801,3
802,50802,2
803,50803,3
804,50804,0
805,50805,7
806,50806,9
807,50807,9
808,50808,0
809,50809,3
810,50810,6
811,50811,6
812,50812,2
813,50813,0
814,50814,2
815,50815,3
816,50816,9
817,50817,6
818,50818,6
819,50819,9
820,50820,0
821,50821,8
822,50822,7
823,50823,6
824,50824,3
825,50825,0
826,50826,3
827,50827,1
828,50828,0
829,50829,1
830,50830,1
831,50831,5
832,50832,9
833,50833,9
834,50834,3
835,50835,4
836,50836,6
837,50837,3
838,50838,1
839,50839,0
840,50840,2
841,50841,9
842,50842,1
843,50843,6
844,50844,4
845,50845,9
846,50846,4
847,50847,1
848,50848,5
849,50849,7
850,50850,1
851,50851,9
852,50852,0
853,50853,5
854,50854,9
855,50855,1
856,50856,6
857,50857,1
858,50858,9
859,50859,9
860,50860,8
861,50861,8
862,50862,0
863,50863,6
864,50864,1
865,50865,6
866,50866,6
867,50867,9
868,50868,7
869,50869,8
870,50870,6
871,50871,8
872,50872,7
873,50873,8
874,50874,7
875,50875,2
876,50876,0
877,50877,7
878,50878,7
879,50879,4
880,50880,6
881,50881,3
882,50882,9
883,50883,8
884,50884,7
885,50885,3
886,50886,8
887,50887,3
888,50888,6
889,50889,4
890,50890,6
891,50891,3
892,50892,3
893,50893,6
894,50894,7
895,50895,3
896,50896,9
897,50897,1
898,50898,2
899,50899,8
900,50900,8
901,50901,2
902,50902,8
903,50903,7
904,50904,5
905,50905,7
906,50906,3
907,50907,1
908,50908,9
909,50909,0
910,50910,7
911,50911,1
912,50912,6
913,50913,2
914,50914,1
915,50915,3
916,50916,4
917,50917,4
918,50918,1
919,50919,5
920,50920,7
921,50921,6
922,50922,3
923,50923,7
924,50924,0
925,50925,8
926,50926,5
927,50927,9
928,50928,1
929,50929,0
930,50930,7
931,50931,1
932,50932,6
933,50933,2
934,50934,6
935,50935,3
936,50936,3
937,50937,4
938,50938,6
939,50939,5
940,50940,3
941,50941,6
942,50942,7
943,50943,7
944,50944,0
945,50945,8
946,50946,3
947,50947,9
948,50948,4
949,50949,0
950,50950,3
951,50951,1
952,50952,1
953,50953,2
954,50954,5
955,50955,3
956,50956,1
957,50957,4
958,50958,0
959,50959,5
960,50960,3
961,50961,6
962,50962,2
963,50963,7
964,50964,3
965,50965,8
966,50966,2
967,50967,9
968,50968,0
969,50969,3
970,50970,8
971,50971,2
972,50972,7
973,50973,9
974,50974,0
975,50975,3
976,50976,3
977,50977,2
978,50978,7
979,50979,1
980,50980,4
981,50981,4
982,50982,3
983,50983,5
984,50984,7
985,50985,5
986,50986,2
987,50987,2
988,50988,8
989,50989,3
990,50990,0
991,50991,2
992,50992,7
993,50993,1
994,50994,3
995,50995,3
996,50996,8
997,50997,9
998,50998,4
999,50999,7
1000,51000,7
1001,51001,2
1002,51002,0
1003,51003,1
1004,51004,7
1005,51005,1
1006,51006,0
1007,51007,8
1008,51008,8
1009,51009,8
1010,51010,1
1011,51011,7
1012,51012,9
1013,51013,8
1014,51014,8
1015,51015,1
1016,51016,2
1017,51017,0
1018,51018,4
1019,51019,0
1020,51020,9
1021,51021,6
1022,51022,9
1023,51023,7
1024,51024,0
1025,51025,7
1026,51026,4
1027,51027,5
1028,51028,4
1029,51029,0
1030,51030,3
1031,51031,6
1032,51032,9
1033,51033,1
1034,51034,7
1035,51035,1
1036,51036,9
1037,51037,2
1038,51038,3
1039,51039,5
1040,51040,5
1041,51041,0
1042,51042,9
1043,51043,7
1044,51044,0
1045,51045,0
1046,51046,4
1047,51047,4
1048,51048,1
1049,51049,4
1050,51050,5
1051,51051,1
1052,51052,0
1053,51053,8
1054,51054,7
1055,51055,6
1056,51056,4
1057,51057,0
1058,51058,1
1059,51059,0
1060,51060,1
1061,51061,0
1062,51062,7
1063,51063,3
1064,51064,2
1065,51065,7
1066,51066,6
1067,51067,1
1068,51068,7
1069,51069,6
1070,51070,7
1071,51071,4
1072,51072,5
1073,51073,2
1074,51074,7
1075,51075,6
1076,51076,4
1077,51077,4
1078,51078,8
1079,51079,5
1080,51080,7
1081,51081,4
1082,51082,9
1083,51083,1
1084,51084,7
1085,51085,3
1086,51086,5
1087,51087,8
1088,51088,7
1089,51089,6
1090,51090,2
1091,51091,3
1092,51092,3
1093,51093,9
1094,51094,8
1095,51095,9
1096,51096,6
1097,51097,5
1098,51098,4
1099,51099,9
1100,51100,2
1101,51101,3
1102,51102,7
1103,51103,7
1104,51104,8
1105,51105,8
1106,51106,3
1107,51107,5
1108,51108,0
1109,51109,6
1110,51110,1
1111,51111,4
1112,51112,1
1113,51113,7
1114,51114,4
1115,51115,6
1116,51116,3
1117,51117,2
1118,51118,2
1119,51119,2
1120,51120,1
1121,51121,0
1122,51122,0
1123,51123,9
1124,51124,5
1125,51125,9
1126,51126,7
1127,51127,0
1128,51128,8
1129,51129,1
1130,51130,5
1131,51131,2
1132,51132,9
1133,51133,3
1134,51134,8
1135,51135,4
1136,51136,1
1137,51137,5
1138,51138,7
1139,51139,6
1140,51140,9
1141,51141,7
1142,51142,3
1143,51143,8
1144,51144,5
1145,51145,9
1146,51146,4
1147,51147,0
1148,51148,3
1149,51149,1
1150,51150,0
1151,51151,2
1152,51152,6
1153,51153,3
1154,51154,3
1155,51155,4
1156,51156,9
1157,51157,5
1158,51158,6
1159,51159,6
1160,51160,8
1161,51161,7
1162,51162,7
1163,51163,8
1164,51164,8
1165,51165,9
1166,51166,7
1167,51167,0
1168,51168,9
1169,51169,1
1170,51170,4
1171,51171,2
1172,51172,8
1173,51173,3
1174,51174,7
1175,51175,4
1176,51176,5
1177,51177,5
1178,51178,7
1179,51179,6
1180,51180,7
1181,51181,7
1182,51182,4
1183,51183,8
1184,51184,8
1185,51185,9
1186,51186,0
1187,51187,1
1188,51188,1
1189,51189,8
1190,51190,1
1191,51191,6
1192,51192,9
1193,51193,7
1194,51194,3
1195,51195,1
1196,51196,3
1197,51197,1
1198,51198,7
1199,51199,4
1200,51200,9
1201,51201,3
1202,51202,7
1203,51203,7
1204,51204,7
1205,51205,7
1206,51206,1
1207,51207,8
1208,51208,8
1209,51209,9
1210,51210,0
1211,51211,3
1212,51212,2
1213,51213,6
1214,51214,2
1215,51215,0
1216,51216,2
1217,51217,3
1218,51218,8
1219,51219,6
1220,51220,6
1221,51221,4
1222,51222,3
1223,51223,8
1224,51224,8
1225,51225,4
1226,51226,0
1227,51227,5
1228,51228,0
1229,51229,7
1230,51230,3
1231,51231,5
1232,51232,6
1233,51233,6
1234,51234,7
1235,51235,0
1236,51236,7
1237,51237,3
1238,51238,2
1239,51239,9
1240,51240,9
1241,51241,2
1242,51242,8
1243,51243,8
1244,51244,8
1245,51245,3
1246,51246,6
1247,51247,1
1248,51248,4
1249,51249,1
1250,51250,1
1251,51251,5
1252,51252,1
1253,51253,9
1254,51254,5
1255,51255,4
1256,51256,2
1257,51257,3
1258,51258,3
1259,51259,0
1260,51260,3
1261,51261,4
1262,51262,2
1263,51263,4
1264,51264,4
1265,51265,0
1266,51266,8
1267,51267,9
1268,51268,3
1269,51269,6
1270,51270,4
1271,51271,9
1272,51272,8
1273,51273,2
1274,51274,5
1275,51275,2
1276,51276,6
1277,51277,1
1278,51278,5
1279,51279,7
1280,51280,1
1281,51281,9
1282,51282,7
1283,51283,8
1284,51284,9
1285,51285,1
1286,51286,8
1287,51287,1
1288,51288,4
1289,51289,9
1290,51290,0
1291,51291,8
1292,51292,7
1293,51293,6
1294,51294,7
1295,51295,6
1296,51296,5
1297,51297,9
1298,51298,5
1299,51299,0
1300,51300,1
1301,51301,0
1302,51302,8
1303,51303,0
1304,51304,7
1305,51305,1
1306,51306,7
1307,51307,8
1308,51308,0
1309,51309,4
1310,51310,6
1311,51311,6
1312,51312,4
1313,51313,8
1314,51314,0
1315,51315,1
1316,51316,9
1317,51317,2
1318,51318,9
1319,51319,6
1320,51320,2
1321,51321,3
1322,51322,7
1323,51323,2
1324,51324,8
1325,51325,4
1326,51326,8
1327,51327,0
1328,51328,4
1329,51329,9
1330,51330,8
1331,51331,0
1332,51332,3
1333,51333,3
1334,51334,9
1335,51335,7
1336,51336,0
1337,51337,4
1338,51338,4
1339,51339,5
1340,51340,2
1341,51341,8
1342,51342,5
1343,51343,2
1344,51344,7
1345,51345,5
1346,51346,9
1347,51347,8
1348,51348,0
1349,51349,3
1350,51350,4
1351,51351,4
1352,51352,0
1353,51353,7
1354,51354,6
1355,51355,6
1356,51356,2
1357,51357,2
1358,51358,7
1359,51359,2
1360,51360,4
1361,51361,7
1362,51362,5
1363,51363,7
1364,51364,5
1365,51365,0
1366,51366,5
1367,51367,6
1368,51368,4
1369,51369,1
1370,51370,6
1371,51371,6
1372,51372,1
1373,51373,3
1374,51374,4
1375,51375,0
1376,51376,3
1377,51377,1
1378,51378,6
1379,51379,2
1380,51380,5
1381,51381,3
1382,51382,4
1383,51383,4
1384,51384,7
1385,51385,5
1386,51386,6
1387,51387,6
1388,51388,3
1389,51389,7
1390,51390,1
1391,51391,8
1392,51392,5
1393,51393,9
1394,51394,3
1395,51395,0
1396,51396,4
1397,51397,1
1398,51398,2
1399,51399,2
1400,51400,6
1401,51401,3
1402,51402,6
1403,51403,4
1404,51404,0
1405,51405,5
1406,51406,6
1407,51407,6
1408,51408,6
1409,51409,7
1410,51410,6
1411,51411,8
1412,51412,8
1413,51413,9
1414,51414,8
1415,51415,0
1416,51416,3
1417,51417,1
1418,51418,2
1419,51419,2
1420,51420,7
1421,51421,3
1422,51422,0
1423,51423,4
1424,51424,8
1425,51425,5
1426,51426,1
1427,51427,6
1428,51428,3
1429,51429,7
1430,51430,9
1431,51431,8
1432,51432,1
1433,51433,5
1434,51434,0
1435,51435,2
1436,51436,1
1437,51437,8
1438,51438,6
1439,51439,1
1440,51440,8
1441,51441,7
1442,51442,9
1443,51443,2
1444,51444,5
1445,51445,4
1446,51446,6
1447,51447,1
1448,51448,2
1449,51449,4
1450,51450,8
1451,51451,1
1452,51452,7
1453,51453,4
1454,51454,4
1455,51455,9
1456,51456,6
1457,51457,6
1458,51458,2
1459,51459,8
1460,51460,7
1461,51461,5
1462,51462,3
1463,51463,3
1464,51464,2
1465,51465,7
1466,51466,0
1467,51467,8
1468,51468,1
1469,51469,3
1470,51470,9
1471,51471,3
1472,51472,9
1473,51473,5
1474,51474,3
1475,51475,6
1476,51476,6
1477,51477,7
1478,51478,0
1479,51479,0
1480,51480,6
1481,51481,6
1482,51482,4
1483,51483,1
1484,51484,8
1485,51485,6
1486,51486,3
1487,51487,8
1488,51488,8
1489,51489,7
1490,51490,0
1491,51491,0
1492,51492,5
1493,51493,1
1494,51494,5
1495,51495,5
1496,51496,7
1497,51497,6
1498,51498,5
1499,51499,0
1500,51500,7
1501,51501,8
1502,51502,7
1503,51503,5
1504,51504,8
1505,51505,0
1506,51506,2
1507,51507,6
1508,51508,1
1509,51509,1
1510,51510,6
1511,51511,5
1512,51512,9
1513,51513,8
1514,51514,6
1515,51515,4
1516,51516,9
1517,51517,2
1518,51518,6
1519,51519,3
1520,51520,0
1521,51521,9
1522,51522,3
1523,51523,7
1524,51524,5
1525,51525,6
1526,51526,9
1527,51527,9
1528,51528,6
1529,51529,1
1530,51530,7
1531,51531,9
1532,51532,7
1533,51533,0
1534,51534,3
1535,51535,6
1536,51536,3
1537,51537,7
1538,51538,6
1539,51539,1
1540,51540,1
1541,51541,2
1542,51542,2
1543,51543,3
1544,51544,3
1545,51545,9
1546,51546,0
1547,51547,2
1548,51548,1
1549,51549,4
1550,51550,2
1551,51551,5
1552,51552,9
1553,51553,5
1554,51554,1
1555,51555,3
1556,51556,1
1557,51557,7
1558,51558,7
1559,51559,5
1560,51560,7
1561,51561,3
1562,51562,5
1563,51563,1
1564,51564,1
1565,51565,8
1566,51566,1
1567,51567,2
1568,51568,7
1569,51569,2
1570,51570,6
1571,51571,3
1572,51572,5
1573,51573,0
1574,51574,9
1575,51575,2
1576,51576,8
1577,51577,9
1578,51578,3
1579,51579,4
1580,51580,2
1581,51581,9
1582,51582,4
1583,51583,7
1584,51584,9
1585,51585,0
1586,51586,7
1587,51587,0
1588,51588,8
1589,51589,2
1590,51590,9
1591,51591,7
1592,51592,9
1593,51593,4
1594,51594,1
1595,51595,9
1596,51596,6
1597,51597,9
1598,51598,0
1599,51599,2
1600,51600,9
1601,51601,8
1602,51602,6
1603,51603,1
1604,51604,4
1605,51605,5
1606,51606,1
1607,51607,6
1608,51608,2
1609,51609,9
1610,51610,5
1611,51611,8
1612,51612,8
1613,51613,3
1614,51614,3
1615,51615,8
1616,51616,5
1617,51617,3
1618,51618,0
1619,51619,6
1620,51620,6
1621,51621,7
1622,51622,4
1623,51623,0
1624,51624,6
1625,51625,4
1626,51626,5
1627,51627,0
1628,51628,6
1629,51629,0
1630,51630,2
1631,51631,1
1632,51632,9
1633,51633,2
1634,51634,7
1635,51635,3
1636,51636,7
1637,51637,4
1638,51638,0
1639,51639,5
1640,51640,3
1641,51641,6
1642,51642,2
1643,51643,7
1644,51644,4
1645,51645,8
1646,51646,5
1647,51647,9
1648,51648,2
1649,51649,0
1650,51650,7
1651,51651,1
1652,51652,4
1653,51653,2
1654,51654,9
1655,51655,3
1656,51656,3
1657,51657,4
1658,51658,2
1659,51659,5
1660,51660,2
1661,51661,6
1662,51662,6
1663,51663,7
1664,51664,6
1665,51665,8
1666,51666,1
1667,51667,9
1668,51668,8
1669,51669,0
1670,51670,8
1671,51671,1
1672,51672,1
1673,51673,2
1674,51674,5
1675,51675,9
1676,51676,6
1677,51677,4
1678,51678,4
1679,51679,5
1680,51680,0
1681,51681,6
1682,51682,2
1683,51683,7
1684,51684,4
1685,51685,0
1686,51686,3
1687,51687,6
1688,51688,9
1689,51689,4
1690,51690,6
1691,51691,7
1692,51692,5
1693,51693,4
1694,51694,4
1695,51695,3
1696,51696,6
1697,51697,6
1698,51698,7
1699,51699,2
1700,51700,6
1701,51701,3
1702,51702,2
1703,51703,4
1704,51704,7
1705,51705,8
1706,51706,3
1707,51707,7
1708,51708,9
1709,51709,8
1710,51710,1
1711,51711,6
1712,51712,4
1713,51713,9
1714,51714,1
1715,51715,8
1716,51716,9
1717,51717,3
1718,51718,5
1719,51719,2
1720,51720,8
1721,51721,2
1722,51722,4
1723,51723,4
1724,51724,1
1725,51725,8
1726,51726,2
1727,51727,5
1728,51728,6
1729,51729,6
1730,51730,9
1731,51731,5
1732,51732,8
1733,51733,0
1734,51734,6
1735,51735,2
1736,51736,5
1737,51737,0
1738,51738,2
1739,51739,1
1740,51740,5
1741,51741,1
1742,51742,1
1743,51743,2
1744,51744,5
1745,51745,6
1746,51746,8
1747,51747,8
1748,51748,2
1749,51749,1
1750,51750,1
1751,51751,2
1752,51752,7
1753,51753,0
1754,51754,8
1755,51755,6
1756,51756,3
1757,51757,9
1758,51758,0
1759,51759,3
1760,51760,2
1761,51761,9
1762,51762,5
1763,51763,3
1764,51764,2
1765,51765,7
1766,51766,7
1767,51767,1
1768,51768,3
1769,51769,8
1770,51770,7
1771,51771,3
1772,51772,1
1773,51773,8
1774,51774,0
1775,51775,5
1776,51776,3
1777,51777,0
1778,51778,6
1779,51779,1
1780,51780,4
1781,51781,1
1782,51782,2
1783,51783,9
1784,51784,1
1785,51785,8
1786,51786,2
1787,51787,2
1788,51788,6
1789,51789,0
1790,51790,3
1791,51791,4
1792,51792,5
1793,51793,5
1794,51794,9
1795,51795,5
1796,51796,9
1797,51797,0
1798,51798,3
1799,51799,3
1800,51800,5
1801,51801,1
1802,51802,7
1803,51803,1
1804,51804,6
1805,51805,6
1806,51806,7
1807,51807,9
1808,51808,2
1809,51809,0
1810,51810,2
1811,51811,3
1812,51812,9
1813,51813,1
1814,51814,4
1815,51815,0
1816,51816,3
1817,51817,4
1818,51818,0
1819,51819,7
1820,51820,4
1821,51821,5
1822,51822,5
1823,51823,4
1824,51824,0
1825,51825,7
1826,51826,0
1827,51827,9
1828,51828,0
1829,51829,7
1830,51830,8
1831,51831,0
1832,51832,7
1833,51833,1
1834,51834,0
1835,51835,2
1836,51836,1
1837,51837,3
1838,51838,4
1839,51839,7
1840,51840,9
1841,51841,8
1842,51842,9
1843,51843,9
1844,51844,5
1845,51845,0
1846,51846,8
1847,51847,1
1848,51848,3
1849,51849,2
1850,51850,8
1851,51851,3
1852,51852,5
1853,51853,4
1854,51854,9
1855,51855,5
1856,51856,9
1857,51857,6
1858,51858,7
1859,51859,7
1860,51860,4
1861,51861,8
1862,51862,7
1863,51863,4
1864,51864,8
1865,51865,0
1866,51866,0
1867,51867,1
1868,51868,4
1869,51869,2
1870,51870,2
1871,51871,3
